Time,Bytes
1724.25,34340
1724.25,34680
1724.25,35020
1724.38,34340
1724.38,34680
1724.38,35020
1724.51,34340
1724.51,34680
1724.51,35020
1724.63,34340
1724.63,34680
1724.63,35020
1724.76,34340
1724.76,34680
1724.76,35020
1724.89,34340
1724.89,34680
1724.89,35020
1725.01,34340
1725.01,34680
1725.01,35020
1725.14,34340
1725.14,34680
1725.14,35020
1725.26,34340
1725.26,34680
1725.26,35020
1725.39,34340
1725.39,34680
1725.39,35020
1725.52,34340
1725.52,34680
1725.52,35020
1725.64,34340
1725.64,34680
1725.64,35020
1725.77,34340
1725.77,34680
1725.77,35020
1725.89,34340
1725.89,34680
1725.89,35020
1726.02,34340
1726.02,34680
1726.02,35020
1726.15,34340
1726.15,34680
1726.15,35020
1726.27,34340
1726.27,34680
1726.27,35020
1726.4,34340
1726.4,34680
1726.4,35020
1726.52,34340
1726.52,34680
1726.52,35020
1726.65,34340
1726.65,34680
1726.65,35020
1726.78,34340
1726.78,34680
1726.78,35020
1726.9,34340
1726.9,34680
1726.9,35020
1727.03,34340
1727.03,34680
1727.03,35020
1727.15,34340
1727.15,34680
1727.15,35020
1727.28,34340
1727.28,34680
1727.28,35020
1727.41,34340
1727.41,34680
1727.41,35020
1727.53,34340
1727.53,34680
1727.53,35020
1727.66,34340
1727.66,34680
1727.66,35020
1727.78,34340
1727.78,34680
1727.78,35020
1727.91,34340
1727.91,34680
1727.91,35020
1728.04,34340
1728.04,34680
1728.04,35020
1728.16,34340
1728.16,34680
1728.16,35020
1728.29,34340
1728.29,34680
1728.29,35020
1728.42,34340
1728.42,34680
1728.42,35020
1728.54,34340
1728.54,34680
1728.54,35020
1728.67,34340
1728.67,34680
1728.67,35020
1728.79,34340
1728.79,34680
1728.79,35020
1728.92,34340
1728.92,34680
1728.92,35020
1729.05,34340
1729.05,34680
1729.05,35020
1729.17,34340
1729.17,34680
1729.17,35020
1729.3,34340
1729.3,34680
1729.3,35020
1729.42,34340
1729.42,34680
1729.42,35020
1729.55,34340
1729.55,34680
1729.55,35020
1729.68,34340
1729.68,34680
1729.68,35020
1729.8,34340
1729.8,34680
1729.8,35020
1729.93,34340
1729.93,34680
1729.93,35020
1730.05,34340
1730.05,34680
1730.05,35020
1730.18,34340
1730.18,34680
1730.18,35020
1730.31,34340
1730.31,34680
1730.31,35020
1730.43,34340
1730.43,34680
1730.43,35020
1730.56,34340
1730.56,34680
1730.56,35020
1730.68,34340
1730.68,34680
1730.68,35020
1730.81,34340
1730.81,34680
1730.81,35020
1730.94,34340
1730.94,34680
1730.94,35020
1731.06,34340
1731.06,34680
1731.06,35020
1731.19,34340
1731.19,34680
1731.19,35020
1731.32,34340
1731.32,34680
1731.32,35020
1731.44,34340
1731.44,34680
1731.44,35020
1731.57,34340
1731.57,34680
1731.57,35020
1731.69,34340
1731.69,34680
1731.69,35020
1731.82,34340
1731.82,34680
1731.82,35020
1731.95,34340
1731.95,34680
1731.95,35020
1732.07,34340
1732.07,34680
1732.07,35020
1732.2,34340
1732.2,34680
1732.2,35020
1732.32,34340
1732.32,34680
1732.32,35020
1732.45,34340
1732.45,34680
1732.45,35020
1732.58,34340
1732.58,34680
1732.58,35020
1732.7,34340
1732.7,34680
1732.7,35020
1732.83,34340
1732.83,34680
1732.83,35020
1732.95,34340
1732.95,34680
1732.95,35020
1733.08,34340
1733.08,34680
1733.08,35020
1733.21,34340
1733.21,34680
1733.21,35020
1733.33,34340
1733.33,34680
1733.33,35020
1733.46,34340
1733.46,34680
1733.46,35020
1733.58,34340
1733.58,34680
1733.58,35020
1733.71,34340
1733.71,34680
1733.71,35020
1733.84,34340
1733.84,34680
1733.84,35020
